1445429067224 refactoring 2A 21 true
1445433759468 test-first 3 4015 true
1445433759469 test-first 3 4015 true
1445433759470 test-first 3 4015 true
1445433759471 test-first 3 4015 true
1445433759472 test-first 3 4015 true
1445433759473 test-first 3 4015 true
1445433759474 test-first 3 4015 true
1445433759475 test-first 3 4015 true
1445433759476 test-first 3 4015 true
1445433759477 test-first 3 4015 true
1445433759478 test-first 3 4015 true
1445433759479 test-first 3 4015 true
1445433759480 test-first 3 4015 true
1445433759481 test-first 3 4015 true
1445433759482 test-first 3 4015 true
1445433759483 test-first 3 4015 true
1445433759484 test-first 3 4015 true
1445433759485 test-first 3 4015 true
1445433759486 test-first 3 4015 true
1445433759487 test-first 3 4015 true
1445433759488 test-first 3 4015 true
1445433759489 test-first 3 4015 true
1445433759490 test-first 3 4015 true
1445433759491 test-first 3 4015 true
1445433759492 test-first 3 4015 true
1445433759493 test-first 3 4015 true
1445433759494 test-first 3 4015 true
1445433759495 test-first 3 4015 true
1445433759496 test-first 3 4015 true
1445433759497 test-first 3 4015 true
1445433759498 test-first 3 4015 true
1445433759499 test-first 3 4015 true
1445433759500 test-first 3 4015 true
1445433759501 test-first 3 4015 true
1445433759502 test-first 3 4015 true
1445433759503 test-first 3 4015 true
1445433759504 test-first 3 4015 true
1445433759505 test-first 3 4015 true
1445433759506 test-first 3 4015 true
1445433759507 test-first 3 4015 true
1445433759508 test-first 3 4015 true
1445433759509 test-first 3 4015 true
1445433759510 test-first 3 4015 true
1445433759511 test-first 3 4015 true
1445433759512 test-first 3 4015 true
1445433759513 test-first 3 4015 true
1445433759514 test-first 3 4015 true
1445433759515 test-first 3 4015 true
1445433759516 test-first 3 4015 true
1445433759517 test-first 3 4015 true
1445433759518 test-first 3 4015 true
1445433759519 test-first 3 4015 true
1445433759520 test-first 3 4015 true
1445433759521 test-first 3 4015 true
1445433759522 test-first 3 4015 true
1445433759523 test-first 3 4015 true
1445433759524 test-first 3 4015 true
1445433759525 test-first 3 4015 true
1445433759526 test-first 3 4015 true
1445433759527 test-first 3 4015 true
1445433759528 test-first 3 4015 true
1445433759529 test-first 3 4015 true
1445433759530 test-first 3 4015 true
1445433759531 test-first 3 4015 true
1445433759532 test-first 3 4015 true
1445433759533 test-first 3 4015 true
1445433759534 test-first 3 4015 true
1445433759535 test-first 3 4015 true
1445433759536 test-first 3 4015 true
1445433759537 test-first 3 4015 true
1445433759538 test-first 3 4015 true
1445433759539 test-first 3 4015 true
1445433759540 test-first 3 4015 true
1445433759541 test-first 3 4015 true
1445433759542 test-first 3 4015 true
1445433759543 test-first 3 4015 true
1445433759544 test-first 3 4015 true
1445433759545 test-first 3 4015 true
1445433759546 test-first 3 4015 true
1445433759547 test-first 3 4015 true
1445433759548 test-first 3 4015 true
1445433759549 test-first 3 4015 true
1445433759550 test-first 3 4015 true
1445433759551 test-first 3 4015 true
1445433759552 test-first 3 4015 true
1445433759553 test-first 3 4015 true
1445433759554 test-first 3 4015 true
1445433759555 test-first 3 4015 true
1445433759556 test-first 3 4015 true
1445433759557 test-first 3 4015 true
1445433759558 test-first 3 4015 true
1445433759559 test-first 3 4015 true
1445433759560 test-first 3 4015 true
1445433759561 test-first 3 4015 true
1445433759562 test-first 3 4015 true
1445433759563 test-first 3 4015 true
1445433759564 test-first 3 4015 true
1445433759565 test-first 3 4015 true
1445433759566 test-first 3 4015 true
1445433759567 test-first 3 4015 true
1445433759568 test-first 3 4015 true
1445433759569 test-first 3 4015 true
1445433759570 test-first 3 4015 true
1445433759571 test-first 3 4015 true
1445433759572 test-first 3 4015 true
1445433759573 test-first 3 4015 true
1445433759574 test-first 3 4015 true
1445433759575 test-first 3 4015 true
1445433759576 test-first 3 4015 true
1445433759577 test-first 3 4015 true
1445433759578 test-first 3 4015 true
1445433759579 test-first 3 4015 true
1445433759580 test-first 3 4015 true
1445433759581 test-first 3 4015 true
1445433759582 test-first 3 4015 true
1445433759583 test-first 3 4015 true
1445433759584 test-first 3 4015 true
1445433759585 test-first 3 4015 true
1445433759586 test-first 3 4015 true
1445433759587 test-first 3 4015 true
1445433759588 test-first 3 4015 true
1445433759589 test-first 3 4015 true
1445433759590 test-first 3 4015 true
1445433759591 test-first 3 4015 true
1445433759592 test-first 3 4015 true
1445433759593 test-first 3 4015 true
1445433759594 test-first 3 4015 true
1445433759595 test-first 3 4015 true
1445433759596 test-first 3 4015 true
1445433759597 test-first 3 4015 true
1445433759598 test-first 3 4015 true
1445433759599 test-first 3 4015 true
1445433759600 test-first 3 4015 true
1445433759601 test-first 3 4015 true
1445433759602 test-first 3 4015 true
1445433759603 test-first 3 4015 true
1445433759604 test-first 3 4015 true
1445433759605 test-first 3 4015 true
1445433759606 test-first 3 4015 true
1445433759607 test-first 3 4015 true
1445433759608 test-first 3 4015 true
1445433759609 test-first 3 4015 true
1445433759610 test-first 3 4015 true
1445433759611 test-first 3 4015 true
1445433759612 test-first 3 4015 true
1445433759613 test-first 3 4015 true
1445433759614 test-first 3 4015 true
1445434193381 test-first 3 319 true
1445434193382 test-first 3 319 true
1445434193383 test-first 3 319 true
1445434193384 test-first 3 319 true
